study_id,instance,3hb_ratio_mol,3ho_ratio_mol,3hdd_ratio_mol,3httd_ratio_mol,unsaturated_monomer_ratio_mol,uknown_monomer_ratio_mol,additive1_percentage_wt,additive1_type,final_pha_percentage_wt,frequency_experimental_fixed_hz,temperature,storage_modulus,log_storage_modulus
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-85.0,1422.3287871228247,3.1530000000000014
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-75.0,1644.371723214934,3.2160000000000006
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-75.0,1380.384264602892,3.1400000000000023
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-65.0,1621.8100973589371,3.2100000000000017
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-65.0,1318.2567385564093,3.1200000000000006
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-55.0,1577.6112696993534,3.1980000000000013
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-55.0,1221.7996601648717,3.087
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-45.0,1213.388850464979,3.0840000000000005
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-45.0,1064.1430182243164,3.027
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-35.0,553.3501092157389,2.7430000000000017
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-35.0,812.8305161641022,2.9100000000000015
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-25.0,74.8169500511156,1.874000000000001
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-25.0,263.02679918953856,2.420000000000001
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-15.0,31.841975217261297,1.5030000000000008
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-15.0,174.98466886246598,2.2430000000000008
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-5.0,18.32314422371212,1.2630000000000001
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-5.0,144.5439770745933,2.1600000000000015
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,5.0,11.803206356517313,1.0720000000000005
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,5.0,131.8256738556408,2.12
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,15.0,8.472274141405979,0.9280000000000007
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,15.0,121.05981335504862,2.0830000000000015
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,25.0,5.997910762555102,0.7780000000000006
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,25.0,116.68096170609654,2.067000000000001
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,35.0,4.197589839910087,0.6230000000000012
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,35.0,105.4386896391259,2.023
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,45.0,3.0130060241861254,0.4790000000000006
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,45.0,89.74287945007491,1.9530000000000003
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,55.0,2.5176769277588598,0.40100000000000074
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,65.0,2.1330449131465787,0.32900000000000046
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,75.0,1.6218100973589318,0.2100000000000005
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-123.0,2285.598803375435,3.359000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-123.0,2471.724145016142,3.393000000000002
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-115.0,2254.239212152433,3.3530000000000006
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-115.0,2398.832919019497,3.3800000000000012
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-105.0,2162.718523727027,3.3350000000000013
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-105.0,2344.2288153199206,3.3699999999999997
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-95.0,2103.778439766479,3.323000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-95.0,2290.8676527677717,3.36
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-85.0,1990.6733389871852,3.2989999999999995
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-85.0,2254.239212152433,3.3530000000000006
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-75.0,1990.6733389871852,3.2989999999999995
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-75.0,2187.761623949559,3.340000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-65.0,1936.4219639466169,3.287000000000002
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-65.0,2123.244462000222,3.3270000000000004
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-55.0,1883.6490894898077,3.2750000000000017
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-55.0,1995.2623149688866,3.3000000000000016
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-45.0,1690.4409316432689,3.228000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-45.0,1790.6058540352988,3.253000000000001
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-35.0,1132.400363235559,3.0540000000000007
3,3,0.0,86.0,0,0,0,14,3.0,reinforcment_and_stiffening_modifiers,97.0,1.0,-35.0,1174.897554939532,3.0700000000000007
