ang_frequency,study_id,instance,mw_phbv,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,hb_ratio_mol,texp,strain_fixed,complex_viscosity,log_complex_viscosity,log_ang_frequency,log_mw
0.102983099197286,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,762.852328496103,2.882440476190476,-0.9872340425531951,5.07139959899491
0.129014432943116,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,600.169345603275,2.778273809523809,-0.8893617021276612,5.07139959899491
0.166447239076338,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,560.417779172972,2.7485119047619047,-0.7787234042553216,5.07139959899491
0.218990629460591,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,497.082611643738,2.6964285714285703,-0.6595744680851073,5.07139959899491
0.279774746328854,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,426.05364554309,2.6294642857142847,-0.553191489361703,5.07139959899491
0.360949802494214,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,418.816525457296,2.6220238095238084,-0.442553191489362,5.07139959899491
0.452188120698428,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,384.433679675769,2.5848214285714284,-0.3446808510638298,5.07139959899491
0.60670660559262,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,352.873502084675,2.5476190476190474,-0.21702127659574497,5.07139959899491
0.775107076927515,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,312.993785198923,2.495535714285714,-0.11063829787234089,5.07139959899491
0.990249611863506,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,312.993785198923,2.495535714285714,-0.004255319148936439,5.07139959899491
1.27756492146711,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,292.262980908842,2.4657738095238084,0.10638297872340267,5.07139959899491
1.60049867576173,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,297.313264651013,2.473214285714285,0.2042553191489351,5.07139959899491
2.16855385825095,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,297.313264651013,2.473214285714285,0.33617021276595604,5.07139959899491
2.79774746328854,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,272.905258982811,2.436011904761904,0.446808510638297,5.07139959899491
3.57430401822105,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,272.905258982811,2.436011904761904,0.553191489361702,5.07139959899491
4.70262583613511,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,259.233113644868,2.4136904761904754,0.6723404255319146,5.07139959899491
6.12680478057331,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,254.829674797934,2.4062499999999987,0.787234042553191,5.07139959899491
7.75107076927515,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,254.829674797934,2.4062499999999987,0.8893617021276591,5.07139959899491
10.2983099197286,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,246.245922341298,2.3913690476190474,1.0127659574468049,5.07139959899491
13.0284759920612,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,237.951307349892,2.376488095238093,1.1148936170212758,5.07139959899491
16.6447239076338,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,226.030302714191,2.3541666666666647,1.2212765957446785,5.07139959899491
21.8990629460591,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,222.190860285091,2.346726190476189,1.3404255319148928,5.07139959899491
27.7046833961359,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,218.416636182868,2.3392857142857144,1.4425531914893612,5.07139959899491
35.0494212455905,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,207.474289358012,2.316964285714284,1.5446808510638295,5.07139959899491
45.6640543233816,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,193.732454563526,2.287202380952379,1.6595744680851054,5.07139959899491
59.4933035452358,6,1,117869.0,no_additive,0.0,no_additive,0.0,100.0,175.0,1.0,184.026748321948,2.2648809523809508,1.774468085106383,5.07139959899491
